de_ratio,current_ratio,roe,gross_margin,profit_margin,revenue_growth,eps_growth,market_cap,sector,label,symbol,fundamentals_score
3.151209677419355,1.6566500899375727,0.25,0.415854887470608,0.18743701713134028,0.02,-0.207,84746027008,Industrials,0,MMM,50.0
0.15902107703088783,1.6121754903072214,0.07363484448277721,0.3894594874987032,0.14171594563751427,0.0,0.143,10144258048,Industrials,0,AOS,62.5
0.2712913072872918,1.7804521685635188,0.027145520476941673,0.5686425950955784,0.1279204479629272,0.044,-0.808,196479811584,Healthcare,0,ABT,37.5
0.267233889357538,1.4607462317186974,0.07192016946642459,0.32867172826336566,0.12395741146807758,0.06,-0.03,130415206400,Technology,0,ACN,25.0
0.27560402766144204,1.4773571242393984,0.06113901934049015,0.2986312570977618,0.10733193427503351,0.06,-0.03,130415206400,Technology,0,ACN,25.0
0.5732879105520615,0.9932514658701184,0.14771139063591893,0.8913672739656053,0.2879278052102843,0.105,0.103,114328027136,Technology,0,ADBE,50.0
0.5011836578846888,1.1846556804539998,0.13829705994654448,0.8911445572278613,0.3169408470423521,0.105,0.103,114328027136,Technology,0,ADBE,50.0
0.08173666660907725,2.8034532000519277,0.012249270054076467,0.5022855606345792,0.0953213229362732,0.341,2.135,329457139712,Technology,1,AMD,62.5
8.816608996539792,0.8431078767123288,0.0132641291810842,0.1507177033492823,0.01572112098427888,0.047,-0.315,10172647424,Utilities,0,AES,12.5
7.963227222832053,0.7969898494924746,0.15367727771679474,0.14179608372721134,0.18906144496961513,0.047,-0.315,10172647424,Utilities,0,AES,25.0
0.5695893089960886,2.091451292246521,0.03503911342894394,0.5191846522781774,0.1288968824940048,0.07,-0.041,34170120192,Healthcare,1,A,25.0
0.5579890492782479,2.197431781701445,0.05276256844201095,0.5348007138607972,0.18917311124330755,0.07,-0.041,34170120192,Healthcare,0,A,37.5
1.121869771617449,0.9955859210071777,-0.11770066787273692,0.29569302516974144,-0.5934435223921541,0.058,0.098,61052276736,Basic Materials,0,APD,12.5
0.28726218974423584,1.2728631201434548,0.019402797026584352,0.7772887323943662,0.06778169014084508,0.12,-0.26,81258119168,Consumer Cyclical,0,ABNB,37.5
1.0074630918860061,1.177751968853411,0.02686647641944343,0.587302822569126,0.12133412271619945,0.074,-0.392,14920578048,Technology,0,AKAM,12.5
0.03124075079007855,1.2064750058765974,0.02457143625223793,0.6945107642285722,0.09520434776392835,0.053,0.308,13204117504,Healthcare,0,ALGN,25.0
0.03096507385153369,1.2229676054340792,0.026948962677684363,0.7002890821015274,0.10430568548229083,0.053,0.308,13204117504,Healthcare,0,ALGN,25.0
1.2427655734644347,2.1738548483045808,0.09222726989856245,0.4485614184095976,0.15734154368828962,0.093,0.024,13490383872,Industrials,1,ALLE,75.0
1.4985196672775976,0.3355263157894737,0.030029606654448048,0.44148936170212766,0.18882978723404256,0.09,-0.053,18591283200,Utilities,0,LNT,37.5
0.06824863076981003,1.7680843171056364,0.10003852091280081,0.5970365937451515,0.38278254316554733,0.18,0.298,3666963857408,Communication Services,1,GOOGL,75.0
0.06824863076981003,1.7680843171056364,0.10003852091280081,0.5970365937451515,0.38278254316554733,0.18,0.298,3670834937856,Communication Services,1,GOOG,75.0
-7.424216524216524,0.5706241201313937,-0.30683760683760686,0.7189643726488161,0.238327063509626,-0.005,-0.632,114334326784,Consumer Defensive,0,MO,37.5
-11.137622877569259,0.513950575105341,-1.3579088471849865,0.7058362710536623,0.5951821386603995,-0.005,-0.632,114334326784,Consumer Defensive,1,MO,37.5
0.435630519147211,1.0481009927854188,0.055994925899165326,0.5055085535148747,0.1100233190078822,0.136,0.059,2327545643008,Consumer Cyclical,0,AMZN,62.5
2.4004154764996106,1.701015228426396,0.05089587120228512,0.19621962196219622,0.05880588058805881,0.681,0.086,21198657536,Consumer Cyclical,0,AMCR,25.0
1.6059415664129635,0.857492141110723,0.023651689990997628,0.4487362899380067,0.13781592751549834,-0.088,0.217,31324426240,Utilities,0,AEE,37.5
1.7177524733992906,0.4168498065621424,0.029289147056993415,0.6025551854156752,0.14646557088992201,0.132,-0.123,72215830528,Utilities,0,AEP,50.0
12.556184225415866,0.5545871559633028,0.13825393232997624,0.7524192289683159,0.19068987045419072,0.075,-0.333,89309552640,Real Estate,0,AMT,37.5
12.995712849624505,0.4492622533778054,0.36355035184199636,0.7431307897629141,0.4826503375726174,0.075,-0.333,89309552640,Real Estate,0,AMT,50.0
1.3770647427378013,0.48794442174090724,0.01946079362065692,0.5901926444833625,0.17950963222416813,0.058,-0.004,26624509952,Utilities,0,AWK,37.5
0.19367868191061416,1.4067327402641143,0.03528183603000458,0.3608605455865023,0.20309693407106702,0.134,0.029,54031151104,Industrials,0,AME,62.5
9.24456259062349,1.1704189847009736,0.2787175769292734,0.6357835317216837,0.21229598723769788,0.086,1.126,204452184064,Healthcare,0,AMGN,62.5
0.6957344775365977,1.9893705075147026,0.07162272356618646,0.34171689877364375,0.15335689045936396,0.491,0.602,163202875392,Technology,1,APH,50.0
0.2055701098695196,2.0770273414300378,0.016274204798429732,0.6104426098115655,0.21581641078941907,0.304,1.123,166726615040,Technology,1,ADI,75.0
2.6427755568246716,1.0463292332747611,0.13777841233580812,0.5244237682385282,0.2040600549799112,0.037,1.365,73314418688,Financial Services,0,AON,25.0
1.0101177336276674,0.8851865266207896,0.06383370125091979,0.38239757207890746,0.13163884673748102,-0.28,-0.212,11127158784,Energy,0,APA,50.0
